gene,brain,region,side,value
2318338,135,CBC,L,5.10082
2318338,144,CBC,L,5.5202300000000015
2318338,144,CBC,R,5.2297
2318338,182,CBC,L,4.54668
2318338,183,CBC,L,5.74049
2318338,135,DFC,L,5.18906
2318338,135,DFC,R,4.9832800000000015
2318338,144,DFC,R,4.8185400000000005
2318338,144,DFC,L,4.9631300000000005
2318338,182,DFC,L,5.62223
2318338,183,DFC,L,5.18935
2340186,135,CBC,L,7.426939999999999
2340186,144,CBC,R,9.33436
2340186,144,CBC,L,9.24251
2340186,182,CBC,L,9.11113
2340186,183,CBC,L,7.681960000000001
2340186,135,DFC,R,7.55032
2340186,135,DFC,L,7.5152199999999985
2340186,144,DFC,R,7.7423199999999985
2340186,144,DFC,L,7.867669999999999
2340186,182,DFC,L,7.244
2340186,183,DFC,L,7.685980000000002
2356721,135,CBC,L,5.98159
2356721,144,CBC,L,7.62326
2356721,144,CBC,R,6.98475
2356721,182,CBC,L,7.597289999999999
2356721,183,CBC,L,6.885089999999999
2356721,135,DFC,R,5.93397
2356721,135,DFC,L,5.2450199999999985
2356721,144,DFC,L,6.48811
2356721,144,DFC,R,6.09155
2356721,182,DFC,L,5.78931
2356721,183,DFC,L,5.76922
2367154,135,CBC,L,10.0441
2367154,144,CBC,L,10.6017
2367154,144,CBC,R,9.87446
2367154,182,CBC,L,10.7741
2367154,183,CBC,L,10.0124
2367154,135,DFC,L,10.1298
2367154,135,DFC,R,9.72388
2367154,144,DFC,L,9.78354
2367154,144,DFC,R,10.2914
2367154,182,DFC,L,9.7216
2367154,183,DFC,L,10.1199
2369484,135,CBC,L,6.28067
2369484,144,CBC,R,5.06766
2369484,144,CBC,L,5.49466
2369484,182,CBC,L,5.32092
2369484,183,CBC,L,5.83279
2369484,135,DFC,L,5.7827199999999985
2369484,135,DFC,R,6.51999
2369484,144,DFC,R,5.88342
2369484,144,DFC,L,5.83853
2369484,182,DFC,L,5.85072
2369484,183,DFC,L,5.65468
2405893,135,CBC,L,8.03387
2405893,144,CBC,L,8.888910000000003
2405893,144,CBC,R,9.25661
2405893,182,CBC,L,8.6754
2405893,183,CBC,L,9.17596
2405893,135,DFC,L,9.6541
2405893,135,DFC,R,9.92038
2405893,144,DFC,R,9.18039
2405893,144,DFC,L,9.22445
2405893,182,DFC,L,8.88973
2405893,183,DFC,L,8.78652
2410330,135,CBC,L,8.009319999999999
2410330,144,CBC,R,8.581389999999999
2410330,144,CBC,L,8.70234
2410330,182,CBC,L,8.86753
2410330,183,CBC,L,7.5647600000000015
2410330,135,DFC,R,8.18469
2410330,135,DFC,L,8.33447
2410330,144,DFC,R,8.6367
2410330,144,DFC,L,8.11698
2410330,182,DFC,L,8.09116
2410330,183,DFC,L,8.76629
2427566,135,CBC,L,7.54868
2427566,144,CBC,L,8.36488
2427566,144,CBC,R,8.22149
2427566,182,CBC,L,8.050469999999999
2427566,183,CBC,L,6.923939999999999
2427566,135,DFC,L,8.32375
2427566,135,DFC,R,7.34225
2427566,144,DFC,R,8.24282
2427566,144,DFC,L,7.67998
2427566,182,DFC,L,8.06071
2427566,183,DFC,L,7.92294
2429556,135,CBC,L,6.42401
2429556,144,CBC,L,4.13339
2429556,144,CBC,R,5.3928699999999985
2429556,182,CBC,L,6.86255
2429556,183,CBC,L,5.46183
2429556,135,DFC,L,5.77999
2429556,135,DFC,R,5.81612
2429556,144,DFC,R,4.03184
2429556,144,DFC,L,4.39497
2429556,182,DFC,L,5.23955
2429556,183,DFC,L,4.52034
2436283,135,CBC,L,8.033560000000001
2436283,144,CBC,R,7.989319999999998
2436283,144,CBC,L,8.44318
2436283,182,CBC,L,8.05227
2436283,183,CBC,L,8.0836
2436283,135,DFC,L,8.12115
2436283,135,DFC,R,7.87605
2436283,144,DFC,L,8.37808
2436283,144,DFC,R,8.192089999999999
2436283,182,DFC,L,7.9306
2436283,183,DFC,L,7.8670399999999985
2439944,135,CBC,L,7.2404199999999985
2439944,144,CBC,R,8.0298
2439944,144,CBC,L,7.689769999999998
2439944,182,CBC,L,9.14486
2439944,183,CBC,L,6.57733
2439944,135,DFC,L,7.65518
2439944,135,DFC,R,6.78452
2439944,144,DFC,L,6.7825
2439944,144,DFC,R,7.81951
2439944,182,DFC,L,7.1173899999999986
2439944,183,DFC,L,8.62637
