Well,Sample_Name,Detector_Name,Reporter,Ct,Threshold
172,RMB200_A1C,FENG3_1,SYBR,26.44,0.39
173,RMB200_A1C,FENG3_1,SYBR,27.38,0.39
174,RMB200_A1C,FENG3_1,SYBR,27.76,0.39
187,RMB200_AMY,FENG3_1,SYBR,27.83,0.39
188,RMB200_AMY,FENG3_1,SYBR,28.94,0.39
189,RMB200_AMY,FENG3_1,SYBR,28.91,0.39
190,RMB200_CBL,FENG3_1,SYBR,28.04,0.39
191,RMB200_CBL,FENG3_1,SYBR,27.95,0.39
192,RMB200_CBL,FENG3_1,SYBR,27.89,0.39
25,RMB200_DFC,FENG3_1,SYBR,27.90,0.39
26,RMB200_DFC,FENG3_1,SYBR,27.90,0.39
27,RMB200_DFC,FENG3_1,SYBR,27.29,0.39
184,RMB200_HIP,FENG3_1,SYBR,27.40,0.39
185,RMB200_HIP,FENG3_1,SYBR,28.04,0.39
186,RMB200_HIP,FENG3_1,SYBR,28.50,0.39
43,RMB200_IPC,FENG3_1,SYBR,28.08,0.39
44,RMB200_IPC,FENG3_1,SYBR,28.18,0.39
45,RMB200_IPC,FENG3_1,SYBR,27.08,0.39
46,RMB200_ITC,FENG3_1,SYBR,28.39,0.39
47,RMB200_ITC,FENG3_1,SYBR,28.33,0.39
48,RMB200_ITC,FENG3_1,SYBR,28.20,0.39
34,RMB200_M1C,FENG3_1,SYBR,27.97,0.39
35,RMB200_M1C,FENG3_1,SYBR,27.28,0.39
36,RMB200_M1C,FENG3_1,SYBR,26.93,0.39
31,RMB200_MFC,FENG3_1,SYBR,27.94,0.39
32,RMB200_MFC,FENG3_1,SYBR,27.90,0.39
33,RMB200_MFC,FENG3_1,SYBR,28.31,0.39
37,RMB200_OFC,FENG3_1,SYBR,28.08,0.39
38,RMB200_OFC,FENG3_1,SYBR,28.29,0.39
39,RMB200_OFC,FENG3_1,SYBR,27.68,0.39
40,RMB200_S1C,FENG3_1,SYBR,27.90,0.39
41,RMB200_S1C,FENG3_1,SYBR,28.65,0.39
42,RMB200_S1C,FENG3_1,SYBR,28.44,0.39
169,RMB200_STC,FENG3_1,SYBR,27.58,0.39
170,RMB200_STC,FENG3_1,SYBR,28.02,0.39
171,RMB200_STC,FENG3_1,SYBR,28.49,0.39
178,RMB200_STR,FENG3_1,SYBR,29.17,0.39
179,RMB200_STR,FENG3_1,SYBR,29.95,0.39
180,RMB200_STR,FENG3_1,SYBR,30.54,0.39
182,RMB200_THM,FENG3_1,SYBR,29.20,0.39
183,RMB200_THM,FENG3_1,SYBR,28.36,0.39
175,RMB200_V1C,FENG3_1,SYBR,27.87,0.39
176,RMB200_V1C,FENG3_1,SYBR,27.93,0.39
177,RMB200_V1C,FENG3_1,SYBR,28.10,0.39
28,RMB200_VFC,FENG3_1,SYBR,28.60,0.39
29,RMB200_VFC,FENG3_1,SYBR,28.17,0.39
30,RMB200_VFC,FENG3_1,SYBR,27.89,0.39
337,NTC,FENG3_1,SYBR,Undetermined,0.39
338,NTC,FENG3_1,SYBR,Undetermined,0.39
339,NTC,FENG3_1,SYBR,Undetermined,0.39
196,RMB200_A1C,FENG3_2,SYBR,26.20,0.36
197,RMB200_A1C,FENG3_2,SYBR,27.43,0.36
198,RMB200_A1C,FENG3_2,SYBR,27.23,0.36
211,RMB200_AMY,FENG3_2,SYBR,27.25,0.36
212,RMB200_AMY,FENG3_2,SYBR,27.87,0.36
213,RMB200_AMY,FENG3_2,SYBR,28.16,0.36
214,RMB200_CBL,FENG3_2,SYBR,27.48,0.36
215,RMB200_CBL,FENG3_2,SYBR,27.63,0.36
216,RMB200_CBL,FENG3_2,SYBR,27.70,0.36
49,RMB200_DFC,FENG3_2,SYBR,27.91,0.36
50,RMB200_DFC,FENG3_2,SYBR,27.18,0.36
51,RMB200_DFC,FENG3_2,SYBR,27.57,0.36
208,RMB200_HIP,FENG3_2,SYBR,27.35,0.36
